,Year,Immigrants Obtaining Lawful Permanent Resident Status,Refugee Arrivals,Noncitizen Apprehensions,Noncitizen Removals,Noncitizen Returns
32,2012.0,"1,031,631","58,179","795,735","415,579","231,105"
33,2013.0,"990,553","69,909","786,223","432,201","178,973"
34,2014.0,"1,016,518","69,975","805,334","405,026","163,836"
35,2015.0,"1,051,031","69,920","596,560","324,303","129,636"
36,2016.0,"1,183,505","84,989","683,782","332,263","106,479"
37,2017.0,"1,127,167","53,691","607,677","284,298","100,454"
38,2018.0,"1,096,611","22,405","739,486","327,554","159,960"
39,2019.0,"1,031,765","29,916","1,175,841","347,183","171,125"
40,2020.0,"707,362","11,840","609,265","237,861","167,453"
41,2021.0,"740,002","11,454","1,865,379","89,191","178,227"
